step,junction_id,active_vehicles,avg_speed_kmh,avg_waiting_time_s,max_waiting_time_s,queue_length_m,halting_vehicles,previous_queue_m,queue_delta,signal_phase,time_of_day_s,future_queue_5min_m,will_congest_5min,run_id
41.0,J3,21,41.67,0.0,0.0,0.0,0,0.0,0.0,0,41.0,45.0,1,0
41.0,J1,21,41.67,0.0,0.0,0.0,0,0.0,0.0,0,41.0,67.5,1,0
42.0,J2,22,42.04,0.0,0.0,0.0,0,0.0,0.0,0,42.0,67.5,1,0
42.0,J3,22,42.04,0.0,0.0,0.0,0,0.0,0.0,0,42.0,45.0,1,0
42.0,J1,22,42.04,0.0,0.0,0.0,0,0.0,0.0,0,42.0,67.5,1,0
43.0,J2,24,41.73,0.04,1.0,7.5,1,0.0,7.5,1,43.0,67.5,1,0
43.0,J3,24,41.73,0.04,1.0,0.0,0,0.0,0.0,1,43.0,45.0,1,0
43.0,J1,24,41.73,0.04,1.0,0.0,0,0.0,0.0,1,43.0,67.5,1,0
44.0,J2,24,41.65,0.08,2.0,7.5,1,0.0,7.5,1,44.0,67.5,1,0
44.0,J3,24,41.65,0.08,2.0,0.0,0,0.0,0.0,1,44.0,45.0,1,0
44.0,J1,24,41.65,0.08,2.0,0.0,0,0.0,0.0,1,44.0,67.5,1,0
45.0,J2,25,42.0,0.12,3.0,7.5,1,0.0,7.5,1,45.0,67.5,1,0
45.0,J3,25,42.0,0.12,3.0,0.0,0,0.0,0.0,1,45.0,45.0,1,0
45.0,J1,25,42.0,0.12,3.0,0.0,0,0.0,0.0,1,45.0,67.5,1,0
46.0,J2,26,42.11,0.0,0.0,0.0,0,0.0,0.0,2,46.0,67.5,1,0
46.0,J3,26,42.11,0.0,0.0,0.0,0,0.0,0.0,2,46.0,45.0,1,0
46.0,J1,26,42.11,0.0,0.0,0.0,0,0.0,0.0,2,46.0,67.5,1,0
47.0,J2,27,42.36,0.0,0.0,0.0,0,0.0,0.0,2,47.0,67.5,1,0
47.0,J3,27,42.36,0.0,0.0,0.0,0,0.0,0.0,2,47.0,45.0,1,0
47.0,J1,27,42.36,0.0,0.0,0.0,0,0.0,0.0,2,47.0,67.5,1,0
48.0,J2,27,41.34,0.0,0.0,0.0,0,7.5,-7.5,2,48.0,67.5,1,0
48.0,J3,27,41.34,0.0,0.0,0.0,0,0.0,0.0,2,48.0,45.0,1,0
48.0,J1,27,41.34,0.0,0.0,0.0,0,0.0,0.0,2,48.0,67.5,1,0
49.0,J2,27,40.63,0.0,0.0,0.0,0,7.5,-7.5,2,49.0,67.5,1,0
49.0,J3,27,40.63,0.0,0.0,0.0,0,0.0,0.0,2,49.0,45.0,1,0
49.0,J1,27,40.63,0.0,0.0,0.0,0,0.0,0.0,2,49.0,75.0,1,0
